night_date,n_hours,err,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2019-11-01,11,-304.8881818181812,-1.4876583133909222,88.0,2019,11,305,4,0,0,0.5123416866090778,0,0
2019-11-02,11,-581.6719318181814,0.15039689680697357,88.0,2019,11,306,5,0,0,2.1503968968069738,0,0
2019-11-03,11,-483.47504545454564,-2.4451012540206465,88.0,2019,11,307,6,0,1,-0.4451012540206465,1,0
2019-11-04,11,-367.3509999999996,-1.54888353629235,102.0,2019,11,308,0,0,0,0.4511164637076499,0,1
2019-11-05,11,-194.98509090909084,-5.52647730847314,108.0,2019,11,309,1,0,1,-3.5264773084731402,0,0
2019-11-06,11,-285.51381818181886,-6.732279140335219,132.0,2019,11,310,2,0,1,-4.732279140335219,0,0
2019-11-07,11,-188.8964545454548,-4.703656498306838,156.0,2019,11,311,3,0,1,-2.703656498306838,0,0
2019-11-08,11,-186.6734999999998,-5.97920159986674,180.0,2019,11,312,4,0,1,-3.97920159986674,0,0
2019-11-09,11,4.62497727272735,-9.263013671072814,204.0,2019,11,313,5,0,1,-7.263013671072814,0,0
2019-11-10,11,-246.72765909090924,-8.624913173710173,228.0,2019,11,314,6,0,1,-6.624913173710173,0,0
2019-11-11,11,-893.3245,-4.294352485379982,252.0,2019,11,315,0,0,1,-2.2943524853799824,0,0
2019-11-12,11,116.4211363636365,-7.565479301921488,276.0,2019,11,316,1,0,1,-5.565479301921488,0,0
2019-11-13,11,77.90299999999992,-11.044796625180398,300.0,2019,11,317,2,0,1,-9.044796625180398,0,0
2019-11-14,11,-165.40752272727298,-5.7217730381405705,324.0,2019,11,318,3,0,1,-3.7217730381405705,0,0
2019-11-15,11,91.22113636363594,-4.997850097687615,348.0,2019,11,319,4,0,1,-2.997850097687615,0,0
2019-11-16,11,-70.41256818181847,-5.914331593269638,372.0,2019,11,320,5,0,1,-3.9143315932696376,0,0
2019-11-17,11,-197.70540909090926,-6.284550441370891,395.0,2019,11,321,6,0,1,-4.284550441370891,0,0
2019-11-18,11,-29.841545454545585,-6.431332624771962,419.0,2019,11,322,0,0,1,-4.431332624771962,0,0
2019-11-19,11,-317.8661590909092,-3.4157915145333053,443.0,2019,11,323,1,0,1,-1.4157915145333053,0,0
2019-11-20,11,-218.74531818181887,-4.412050619090139,461.0,2019,11,324,2,0,1,-2.412050619090139,0,0
2019-11-21,11,-215.30184090909114,-5.922796104809591,485.0,2019,11,325,3,0,1,-3.922796104809591,0,0
2019-11-22,11,-526.6448863636368,-4.686873591001085,509.0,2019,11,326,4,0,1,-2.686873591001085,0,0
2019-11-23,11,10.897090909090945,-2.204751269000106,533.0,2019,11,327,5,0,1,-0.2047512690001061,0,0
2019-11-24,11,-481.9428863636367,-1.157499602233009,545.0,2019,11,328,6,0,0,0.8425003977669909,0,0
2019-11-25,11,-535.5379772727272,-1.92979798743681,545.0,2019,11,329,0,0,0,0.07020201256318992,0,0
2019-11-26,11,-297.43497727272637,-3.2085140428100924,554.0,2019,11,330,1,0,1,-1.2085140428100924,1,0
2019-11-27,11,-97.40763636363673,-3.9487374032003175,578.0,2019,11,331,2,0,1,-1.9487374032003175,0,1
2019-11-28,11,-169.16775000000004,-6.095901283365621,602.0,2019,11,332,3,0,1,-4.095901283365621,0,0
2019-11-29,11,-428.64413636363645,-7.289192935549161,626.0,2019,11,333,4,0,1,-5.289192935549161,0,0
2019-11-30,11,-557.3995681818178,-9.661528168418013,650.0,2019,11,334,5,0,1,-7.6615281684180125,0,0
2019-12-01,11,-221.9797045454543,-4.772115506247414,674.0,2019,12,335,6,0,1,-2.772115506247414,0,0
2019-12-02,11,104.3278181818175,-11.024856384930008,698.0,2019,12,336,0,0,1,-9.024856384930008,0,0
2019-12-03,11,314.4515909090906,-6.308886574683248,722.0,2019,12,337,1,0,1,-4.308886574683248,0,0
2019-12-04,11,244.13040909091004,-5.075820593340368,746.0,2019,12,338,2,0,1,-3.075820593340368,0,0
2019-12-05,11,140.6911136363633,-5.584183000812392,770.0,2019,12,339,3,0,1,-3.5841830008123923,0,0
2019-12-06,11,-141.99245454545434,-6.2979402084003855,794.0,2019,12,340,4,0,1,-4.2979402084003855,0,0
2019-12-07,11,-299.54320454545433,-6.337273908058267,818.0,2019,12,341,5,0,1,-4.337273908058267,0,0
2019-12-08,11,-54.52134090909104,-6.402598013543087,842.0,2019,12,342,6,0,1,-4.402598013543087,0,0
2019-12-09,11,364.2086363636372,-8.46152762164704,866.0,2019,12,343,0,0,1,-6.46152762164704,0,0
2019-12-10,11,162.14120454545463,-9.514470780082702,890.0,2019,12,344,1,0,1,-7.514470780082702,0,0
2019-12-11,11,-203.73577272727198,-8.79114506926352,914.0,2019,12,345,2,0,1,-6.79114506926352,0,0
2019-12-12,11,30.132386363636794,-12.189371054522304,938.0,2019,12,346,3,0,1,-10.189371054522304,0,0
2019-12-13,11,-403.8756136363632,-9.739110146679778,962.0,2019,12,347,4,0,1,-7.739110146679778,0,0
2019-12-14,11,32.15797727272696,-5.592764097657937,986.0,2019,12,348,5,0,1,-3.5927640976579367,0,0
2019-12-15,11,-321.5999090909091,-3.9299388265738147,1010.0,2019,12,349,6,0,1,-1.9299388265738147,0,0
2019-12-16,11,-456.88406818181744,-2.5160897937169406,1034.0,2019,12,350,0,0,1,-0.5160897937169406,0,0
2019-12-17,11,-269.44015909090905,-0.9682900892272052,1048.0,2019,12,351,1,0,0,1.0317099107727947,0,0
2019-12-18,11,-459.1535909090913,-2.350205282862617,1048.0,2019,12,352,2,0,1,-0.3502052828626172,0,0
2019-12-19,11,-490.7256136363634,-2.4007832473746316,1064.0,2019,12,353,3,0,1,-0.40078324737463156,0,0
2019-12-20,11,-212.95561363636327,-2.810869189883576,1086.0,2019,12,354,4,0,1,-0.8108691898835758,0,0
2019-12-21,11,-104.95527272727254,-6.904343281808763,1110.0,2019,12,355,5,1,1,-4.904343281808763,0,0
2019-12-22,11,-183.58318181818223,-7.9633055838197775,1134.0,2019,12,356,6,1,1,-5.9633055838197775,0,0
2019-12-23,11,10.98088636363586,-8.49439746159387,1158.0,2019,12,357,0,1,1,-6.49439746159387,0,0
2019-12-24,11,144.47111363636412,-7.014952812000445,1182.0,2019,12,358,1,1,1,-5.014952812000445,0,0
2019-12-25,11,126.9915681818182,-9.648101897395833,1206.0,2019,12,359,2,1,1,-7.648101897395833,0,0
2019-12-26,11,95.57293181818204,-7.481572155831025,1230.0,2019,12,360,3,1,1,-5.481572155831025,0,0
2019-12-27,11,-356.11934090909114,-8.620120374106396,1254.0,2019,12,361,4,1,1,-6.620120374106396,0,0
2019-12-28,11,-331.5255000000001,-10.822892281801835,1278.0,2019,12,362,5,1,1,-8.822892281801835,0,0
2019-12-29,11,-213.19897727272738,-6.056572711673905,1302.0,2019,12,363,6,1,1,-4.056572711673905,0,0
2019-12-30,11,-283.14525000000026,-4.198272135864195,1326.0,2019,12,364,0,1,1,-2.198272135864195,0,0
2020-11-01,11,-74.90195454545474,3.572167206722516,306.0,2020,11,306,6,0,0,5.572167206722516,0,0
2020-11-02,11,64.03540909090935,4.5688689715730115,306.0,2020,11,307,0,0,0,6.5688689715730115,0,0
2020-11-03,11,59.128954545454526,2.852701218517271,306.0,2020,11,308,1,0,0,4.8527012185172715,0,0
2020-11-04,11,-464.3747045454542,0.8313823398426172,306.0,2020,11,309,2,0,0,2.8313823398426172,0,0
2020-11-05,11,-299.8451818181817,-0.7581276980760131,306.0,2020,11,310,3,0,0,1.241872301923987,0,0
2020-11-06,11,381.6122500000005,-1.9731025770403916,306.0,2020,11,311,4,0,0,0.026897422959608397,0,0
2020-11-07,11,77.3708181818175,-1.6211456445893822,314.0,2020,11,312,5,0,0,0.37885435541061785,0,0
2020-11-08,11,190.15197727272724,-2.1276706235671896,316.0,2020,11,313,6,0,1,-0.1276706235671896,1,0
2020-11-09,11,-88.12218181818257,-1.6960689596618792,324.0,2020,11,314,0,0,0,0.3039310403381208,0,1
2020-11-10,11,173.52027272727238,-2.1474291201669606,327.0,2020,11,315,1,0,1,-0.14742912016696064,0,0
2020-11-11,11,-94.14522727272725,-2.6552093125486445,337.0,2020,11,316,2,0,1,-0.6552093125486445,0,0
2020-11-12,11,36.051272727272256,-3.891866464208776,359.0,2020,11,317,3,0,1,-1.8918664642087761,0,0
2020-11-13,11,-527.1386590909092,-2.922175386163151,378.0,2020,11,318,4,0,1,-0.922175386163151,0,0
2020-11-14,11,-51.29293181818205,-2.4667794161146777,394.0,2020,11,319,5,0,1,-0.46677941611467766,0,0
2020-11-15,11,-276.2738181818179,-2.895479753955519,410.0,2020,11,320,6,0,1,-0.8954797539555188,0,0
2020-11-16,11,-92.31154545454493,-5.899437038141579,425.0,2020,11,321,0,0,1,-3.8994370381415786,0,0
2020-11-17,11,-196.76165909090875,-0.031884278352477424,445.0,2020,11,322,1,0,0,1.9681157216475227,0,0
2020-11-18,11,-74.33545454545377,-0.14911549475984354,445.0,2020,11,323,2,0,0,1.8508845052401566,0,0
2020-11-19,11,-303.6159090909087,-6.386486285303258,445.0,2020,11,324,3,0,1,-4.386486285303258,1,0
2020-11-20,11,-142.84715909090846,-11.532150937985572,468.0,2020,11,325,4,0,1,-9.532150937985572,0,1
2020-11-21,11,-107.29179545454562,-5.158881590380485,492.0,2020,11,326,5,0,1,-3.158881590380485,0,0
2020-11-22,11,-62.29147727272704,-1.362501895462498,503.0,2020,11,327,6,0,0,0.6374981045375021,0,0
2020-11-23,11,-224.3799772727282,-4.225915499467636,509.0,2020,11,328,0,0,1,-2.225915499467636,0,0
2020-11-24,11,-131.08927272727206,-4.483594955327252,533.0,2020,11,329,1,0,1,-2.483594955327252,0,0
2020-11-25,11,-118.69956818181741,-4.128302403016508,557.0,2020,11,330,2,0,1,-2.128302403016508,0,0
2020-11-26,11,130.01343181818183,-4.467330277017502,581.0,2020,11,331,3,0,1,-2.467330277017502,0,0
2020-11-27,11,-12.593159090909301,-4.882642818943293,605.0,2020,11,332,4,0,1,-2.8826428189432933,0,0
2020-11-28,11,-213.42563636363627,-4.912023369011323,628.0,2020,11,333,5,0,1,-2.9120233690113233,0,0
2020-11-29,11,78.81456818181852,-7.207603824100961,652.0,2020,11,334,6,0,1,-5.207603824100961,0,0
2020-11-30,11,-215.6342954545451,-8.32558233927957,676.0,2020,11,335,0,0,1,-6.3255823392795705,0,0
2020-12-01,11,-385.48513636363583,-9.85134420057715,700.0,2020,12,336,1,0,1,-7.8513442005771505,0,0
2020-12-02,11,-379.3117500000001,-8.444878447716778,724.0,2020,12,337,2,0,1,-6.444878447716778,0,0
2020-12-03,11,-650.9299318181819,-9.264515106495487,748.0,2020,12,338,3,0,1,-7.264515106495487,0,0
2020-12-04,11,-788.9624545454546,-4.719663439765321,772.0,2020,12,339,4,0,1,-2.7196634397653208,0,0
2020-12-05,11,-643.8687500000003,-2.260763743427704,796.0,2020,12,340,5,0,1,-0.26076374342770414,0,0
2020-12-06,11,-451.65956818181786,-5.957126456084821,819.0,2020,12,341,6,0,1,-3.957126456084821,0,0
2020-12-07,11,189.49209090909062,-10.200707128953342,843.0,2020,12,342,0,0,1,-8.200707128953342,0,0
2020-12-08,11,314.0963863636364,-6.720959104200002,867.0,2020,12,343,1,0,1,-4.720959104200002,0,0
2020-12-09,11,586.141522727272,-8.146669018890769,891.0,2020,12,344,2,0,1,-6.146669018890769,0,0
2020-12-10,11,-172.5874772727273,-9.924638375441871,915.0,2020,12,345,3,0,1,-7.924638375441871,0,0
2020-12-11,11,-129.25240909090874,-9.652846912656289,939.0,2020,12,346,4,0,1,-7.652846912656289,0,0
2020-12-12,11,-355.1513863636362,-6.728214610970576,963.0,2020,12,347,5,0,1,-4.728214610970576,0,0
2020-12-13,11,-210.9897272727275,-7.242892051259886,987.0,2020,12,348,6,0,1,-5.242892051259886,0,0
2020-12-14,11,-174.6525454545458,-1.9108769143717952,1010.0,2020,12,349,0,0,0,0.08912308562820481,0,0
2020-12-15,11,-340.0869772727277,-2.0642072710340518,1020.0,2020,12,350,1,0,1,-0.06420727103405177,0,0
2020-12-16,11,96.36618181818152,-4.879230507127215,1040.0,2020,12,351,2,0,1,-2.8792305071272146,0,0
2020-12-17,11,-196.08218181818202,-4.184773922760674,1064.0,2020,12,352,3,0,1,-2.184773922760674,0,0
2020-12-18,11,-130.91749999999973,-5.587535162246852,1088.0,2020,12,353,4,0,1,-3.5875351622468523,0,0
2020-12-19,11,-50.472795454545455,-5.028432467647417,1112.0,2020,12,354,5,0,1,-3.0284324676474172,0,0
2020-12-20,11,-33.56297727272745,-3.283135137571314,1136.0,2020,12,355,6,0,1,-1.283135137571314,0,0
2020-12-21,11,534.2400000000001,-1.7782176100464533,1160.0,2020,12,356,0,1,0,0.2217823899535467,0,0
2020-12-22,11,-587.1408181818181,-1.1021896538175773,1165.0,2020,12,357,1,1,0,0.8978103461824227,0,0
2020-12-23,11,-857.1867272727271,-2.4037648017164326,1165.0,2020,12,358,2,1,1,-0.4037648017164326,1,0
2020-12-24,11,-51.4294090909086,-6.706125928864709,1186.0,2020,12,359,3,1,1,-4.706125928864709,0,1
2020-12-25,11,148.6983863636362,-12.652943062735705,1210.0,2020,12,360,4,1,1,-10.652943062735705,0,0
2020-12-26,11,-263.6851590909089,-12.478261110722961,1234.0,2020,12,361,5,1,1,-10.478261110722961,0,0
2020-12-27,11,-2.5411590909092907,-12.076580979525078,1258.0,2020,12,362,6,1,1,-10.076580979525078,0,0
2020-12-28,11,-99.91163636363639,-10.829081824433674,1282.0,2020,12,363,0,1,1,-8.829081824433674,0,0
2020-12-29,11,-235.97809090909058,-9.672975187404218,1306.0,2020,12,364,1,1,1,-7.672975187404218,0,0
2020-12-30,11,-378.2215454545458,-12.280535134987717,1330.0,2020,12,365,2,1,1,-10.280535134987717,0,0
2021-11-01,11,-220.36863636363688,-3.5996045522269458,296.0,2021,11,305,0,0,1,-1.5996045522269458,1,0
2021-11-02,11,10.944886363636794,-4.5272707066015805,319.0,2021,11,306,1,0,1,-2.5272707066015805,0,1
2021-11-03,11,-169.80865909091006,-2.9875899818929152,341.0,2021,11,307,2,0,1,-0.9875899818929152,0,0
2021-11-04,11,267.87081818181764,-8.357329290421582,365.0,2021,11,308,3,0,1,-6.357329290421582,0,0
2021-11-05,11,-174.84372727272702,-9.165880379120663,389.0,2021,11,309,4,0,1,-7.165880379120663,0,0
2021-11-06,11,-213.21154545454556,-4.9858482489162705,413.0,2021,11,310,5,0,1,-2.9858482489162705,0,0
2021-11-07,11,-2.384750000000581,-3.0652048873395046,432.0,2021,11,311,6,0,1,-1.0652048873395046,0,0
2021-11-08,11,-340.6615000000005,-6.358949558277145,456.0,2021,11,312,0,0,1,-4.358949558277145,0,0
2021-11-09,11,87.87106818181861,-0.5863499950061937,477.0,2021,11,313,1,0,0,1.4136500049938063,0,0
2021-11-10,11,-230.33122727272746,1.0597770208476451,477.0,2021,11,314,2,0,0,3.059777020847645,0,0
2021-11-11,11,-209.7073409090909,1.5326891096110822,477.0,2021,11,315,3,0,0,3.5326891096110824,0,0
2021-11-12,11,-315.2405227272724,0.10787590606993147,477.0,2021,11,316,4,0,0,2.1078759060699315,0,0
2021-11-13,11,-140.59149999999946,-1.8591128368541192,477.0,2021,11,317,5,0,0,0.1408871631458808,0,0
2021-11-14,11,-200.71454545454583,-2.176396142775604,488.0,2021,11,318,6,0,1,-0.17639614277560378,1,0
2021-11-15,11,-208.13711363636338,-1.6426833838929689,498.0,2021,11,319,0,0,0,0.35731661610703114,0,1
2021-11-16,11,-229.3075909090904,0.02454321352324644,500.0,2021,11,320,1,0,0,2.0245432135232466,0,0
2021-11-17,11,-271.61615909090955,-0.8141722692880297,500.0,2021,11,321,2,0,0,1.1858277307119702,0,0
2021-11-18,11,-299.7630909090906,-3.6829599777374153,511.0,2021,11,322,3,0,1,-1.6829599777374153,1,0
2021-11-19,11,-362.23524999999955,-0.9212878643978288,523.0,2021,11,323,4,0,0,1.0787121356021712,0,1
2021-11-20,11,-148.97590909090897,-1.8921038051894767,523.0,2021,11,324,5,0,0,0.10789619481052326,0,0
2021-11-21,11,-116.15879545454531,-3.3267735244554517,534.0,2021,11,325,6,0,1,-1.3267735244554517,1,0
2021-11-22,11,-458.5317272727281,-4.623689384588568,558.0,2021,11,326,0,0,1,-2.623689384588568,0,1
2021-11-23,11,260.773681818182,-7.0515506754299055,582.0,2021,11,327,1,0,1,-5.0515506754299055,0,0
2021-11-24,11,-101.50849999999991,-5.617639440513474,606.0,2021,11,328,2,0,1,-3.617639440513474,0,0
2021-11-25,11,-67.54065909090886,-3.5806094391205203,630.0,2021,11,329,3,0,1,-1.5806094391205203,0,0
2021-11-26,11,164.04393181818241,-6.034840205370123,654.0,2021,11,330,4,0,1,-4.034840205370123,0,0
2021-11-27,11,38.78506818181847,-8.481528198785824,678.0,2021,11,331,5,0,1,-6.481528198785824,0,0
2021-11-28,11,429.43884090909074,-13.116498053529938,702.0,2021,11,332,6,0,1,-11.116498053529938,0,0
2021-11-29,11,362.36538636363645,-14.48876985465247,726.0,2021,11,333,0,0,1,-12.48876985465247,0,0
2021-11-30,11,-694.9554545454547,-3.746487078152646,750.0,2021,11,334,1,0,1,-1.7464870781526458,0,0
2021-12-01,11,-370.2683863636359,-6.409645053536663,774.0,2021,12,335,2,0,1,-4.409645053536663,0,0
2021-12-02,11,-583.153545454546,-11.7884577815693,798.0,2021,12,336,3,0,1,-9.7884577815693,0,0
2021-12-03,11,-447.35834090909105,-9.882299233304503,822.0,2021,12,337,4,0,1,-7.8822992333045026,0,0
2021-12-04,11,-619.7269545454542,-7.341763229856003,846.0,2021,12,338,5,0,1,-5.341763229856003,0,0
2021-12-05,11,-188.54963636363638,-13.039809687819359,870.0,2021,12,339,6,0,1,-11.039809687819359,0,0
2021-12-06,11,-280.6081363636374,-13.050367976489918,894.0,2021,12,340,0,0,1,-11.050367976489918,0,0
2021-12-07,11,-242.9799772727279,-11.561379283586188,918.0,2021,12,341,1,0,1,-9.561379283586188,0,0
2021-12-08,11,155.87381818181794,-9.017542129400399,942.0,2021,12,342,2,0,1,-7.017542129400399,0,0
2021-12-09,11,-646.0660681818189,-13.309727612655792,966.0,2021,12,343,3,0,1,-11.309727612655792,0,0
2021-12-10,11,-413.32443181818184,-10.54933269997778,990.0,2021,12,344,4,0,1,-8.54933269997778,0,0
2021-12-11,11,-57.5424545454541,-11.990556819752051,1014.0,2021,12,345,5,0,1,-9.990556819752051,0,0
2021-12-12,11,-342.0067727272728,-1.5581968600624831,1038.0,2021,12,346,6,0,0,0.44180313993751685,0,0
2021-12-13,11,-315.14261363636285,-4.154648766344933,1043.0,2021,12,347,0,0,1,-2.154648766344933,0,0
2021-12-14,11,-43.42502272727275,-3.504976659084096,1067.0,2021,12,348,1,0,1,-1.5049766590840958,0,0
2021-12-15,11,-547.7226590909096,-0.8376697713049879,1090.0,2021,12,349,2,0,0,1.1623302286950121,0,0
2021-12-16,11,-865.6192272727279,-3.690612279815863,1101.0,2021,12,350,3,0,1,-1.6906122798158632,0,0
2021-12-17,11,451.098136363636,-5.754787949602618,1125.0,2021,12,351,4,0,1,-3.754787949602618,0,0
2021-12-18,11,428.6999999999994,-3.892363490152067,1149.0,2021,12,352,5,0,1,-1.892363490152067,0,0
2021-12-19,11,53.043045454544796,-6.233430029638672,1173.0,2021,12,353,6,0,1,-4.233430029638672,0,0
2021-12-20,11,-20.188840909090437,-9.460477561983332,1197.0,2021,12,354,0,0,1,-7.460477561983332,0,0
2021-12-21,11,-581.3564545454544,-9.666452141308662,1221.0,2021,12,355,1,1,1,-7.666452141308662,0,0
2021-12-22,11,114.45531818181884,-8.199822327700275,1245.0,2021,12,356,2,1,1,-6.199822327700275,0,0
2021-12-23,11,-495.11909090909154,-4.025534332019877,1269.0,2021,12,357,3,1,1,-2.025534332019877,0,0
2021-12-24,11,-622.6774318181816,-4.268479111897251,1293.0,2021,12,358,4,1,1,-2.2684791118972507,0,0
2021-12-25,11,-21.21325000000053,-4.780576368550275,1317.0,2021,12,359,5,1,1,-2.7805763685502747,0,0
2021-12-26,11,-244.60704545454627,-5.654891271167306,1341.0,2021,12,360,6,1,1,-3.6548912711673056,0,0
2021-12-27,11,-379.4794999999991,-5.246271178254059,1365.0,2021,12,361,0,1,1,-3.2462711782540588,0,0
2021-12-28,11,-259.5292272727276,-4.5262506910157585,1389.0,2021,12,362,1,1,1,-2.5262506910157585,0,0
2021-12-29,11,-228.04522727272706,-0.17070508212663282,1412.0,2021,12,363,2,1,0,1.829294917873367,0,0
2021-12-30,11,-361.31393181818135,-0.5710884313190724,1412.0,2021,12,364,3,1,0,1.4289115686809275,0,0
2022-11-01,11,-162.53818181818198,0.6640197749232466,0.0,2022,11,305,1,0,0,2.6640197749232466,0,0
2022-11-02,11,-205.61686363636346,0.627871414532687,0.0,2022,11,306,2,0,0,2.627871414532687,0,0
2022-11-03,11,233.69238636363596,-0.5133623695545374,0.0,2022,11,307,3,0,0,1.4866376304454625,0,0
2022-11-04,11,-439.3516363636367,-6.48251494676733,14.0,2022,11,308,4,0,1,-4.48251494676733,1,0
