night_date,n_hours,err,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2019-11-01,11,-304.8881818181812,-0.29428904104258086,29.0,2019,11,305,4,0,0,1.705710958957419,0,0
2019-11-02,11,-581.6719318181814,1.7652637616022402,29.0,2019,11,306,5,0,0,3.76526376160224,0,0
2019-11-03,11,-483.47504545454564,-0.871636887665939,29.0,2019,11,307,6,0,0,1.128363112334061,0,0
2019-11-04,11,-367.3509999999996,-0.08170341698443068,33.0,2019,11,308,0,0,0,1.9182965830155694,0,0
2019-11-05,11,-194.98509090909084,-3.9306659107723685,33.0,2019,11,309,1,0,1,-1.9306659107723685,1,0
2019-11-06,11,-285.51381818181886,-5.244091438434574,57.0,2019,11,310,2,0,1,-3.244091438434574,0,1
2019-11-07,11,-188.8964545454548,-2.985608544878308,81.0,2019,11,311,3,0,1,-0.9856085448783078,0,0
2019-11-08,11,-186.6734999999998,-4.002152136153175,102.0,2019,11,312,4,0,1,-2.0021521361531747,0,0
2019-11-09,11,4.62497727272735,-8.238870938236007,126.0,2019,11,313,5,0,1,-6.238870938236007,0,0
2019-11-10,11,-246.72765909090924,-7.72361549275416,150.0,2019,11,314,6,0,1,-5.72361549275416,0,0
2019-11-11,11,-893.3245,-2.5843730567184653,174.0,2019,11,315,0,0,1,-0.5843730567184653,0,0
2019-11-12,11,116.4211363636365,-6.028003996012246,198.0,2019,11,316,1,0,1,-4.028003996012246,0,0
2019-11-13,11,77.90299999999992,-10.247833701523781,222.0,2019,11,317,2,0,1,-8.247833701523781,0,0
2019-11-14,11,-165.40752272727298,-4.145198979640777,246.0,2019,11,318,3,0,1,-2.145198979640777,0,0
2019-11-15,11,91.22113636363594,-2.9092914418424183,261.0,2019,11,319,4,0,1,-0.9092914418424183,0,0
2019-11-16,11,-70.41256818181847,-3.991923568750398,285.0,2019,11,320,5,0,1,-1.9919235687503982,0,0
2019-11-17,11,-197.70540909090926,-4.166571684104491,296.0,2019,11,321,6,0,1,-2.1665716841044906,0,0
2019-11-18,11,-29.841545454545585,-4.6478341499945035,319.0,2019,11,322,0,0,1,-2.6478341499945035,0,0
2019-11-19,11,-317.8661590909092,-1.709475698777445,333.0,2019,11,323,1,0,0,0.2905243012225549,0,0
2019-11-20,11,-218.74531818181887,-3.051955384380099,337.0,2019,11,324,2,0,1,-1.0519553843800988,0,0
2019-11-21,11,-215.30184090909114,-3.9813625341162227,357.0,2019,11,325,3,0,1,-1.9813625341162227,0,0
2019-11-22,11,-526.6448863636368,-2.867542062075304,381.0,2019,11,326,4,0,1,-0.8675420620753038,0,0
2019-11-23,11,10.897090909090945,-0.6851837720763373,394.0,2019,11,327,5,0,0,1.3148162279236626,0,0
2019-11-24,11,-481.9428863636367,0.1661366378986268,394.0,2019,11,328,6,0,0,2.1661366378986266,0,0
2019-11-25,11,-535.5379772727272,-0.9460486702559462,394.0,2019,11,329,0,0,0,1.053951329744054,0,0
2019-11-26,11,-297.43497727272637,-1.7668451101093203,394.0,2019,11,330,1,0,0,0.23315488989067967,0,0
2019-11-27,11,-97.40763636363673,-2.7305723445969736,394.0,2019,11,331,2,0,1,-0.7305723445969736,1,0
2019-11-28,11,-169.16775000000004,-4.4892491226359645,412.0,2019,11,332,3,0,1,-2.4892491226359645,0,1
